SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
"2,014",Oregon Ducks Football Tickets,Colorado Buffaloes at Oregon Ducks Football Tickets,"10,723",141,155,0.909677419
"2,014",Michigan Wolverines Football Tickets,Miami (Ohio) Redhawks at Michigan Wolverines Football Tickets,"13,393",367,465,0.789247312
"2,014",Michigan State Spartans Football Tickets,Eastern Michigan Eagles at Michigan State Spartans Football Tickets,792,29,29,1
"2,014",Michigan Wolverines Football Tickets,Utah Utes at Michigan Wolverines Football Tickets,"19,426",442,559,0.790697674
"2,014",Cal Bears Football Tickets,Oregon Ducks at Cal Bears Football Tickets,779,27,100,0.27
"2,014",Michigan Wolverines Football Tickets,Indiana Hoosiers at Michigan Wolverines Football Tickets (Homecoming),"2,880",72,100,0.72
"2,014",Oregon Ducks Football Tickets,Stanford Cardinal at Oregon Ducks Football Tickets,915,5,50,0.1
"2,014",Oregon Ducks Football Tickets,Washington Huskies at Oregon Ducks Football Tickets,"3,962",24,30,0.8
"2,014",Oregon Ducks Football Tickets,Michigan State Spartans at Oregon Ducks Football Tickets,"1,835",49,82,0.597560976
"2,014",Navy Midshipmen Football Tickets,Notre Dame Fighting Irish vs Navy Midshipmen Football Tickets,"196,495","2,094",3650,0.57369863
"2,014",Air Force Falcons Football Tickets,Nevada Wolf Pack at Air Force Falcons Football Tickets,549,58,85,0.682352941
"2,014",Oregon Ducks Football Tickets,Arizona Wildcats at Oregon Ducks Football Tickets,"1,540",13,14,0.928571429
"2,014",Michigan State Spartans Football Tickets,Michigan Wolverines at Michigan State Spartans Football Tickets,"4,480",28,28,1
"2,014",Michigan Wolverines Football Tickets,Minnesota Golden Gophers at Michigan Wolverines Football Tickets,"1,398",38,46,0.826086957
"2,014",Air Force Falcons Football Tickets,New Mexico Lobos at Air Force Falcons Football Tickets,"1,202",123,123,1
"2,014",Oregon Ducks Football Tickets,Wyoming Cowboys at Oregon Ducks Football Tickets,"1,288",25,33,0.757575758
"2,014",Georgia Tech Yellow Jackets Football Tickets,Clemson Tigers at Georgia Tech Yellow Jackets Football Tickets,"13,400",179,213,0.840375587
"2,014",Michigan Wolverines Football Tickets,Penn State Nittany Lions at Michigan Wolverines Football Tickets,516,6,6,1
"2,014",Air Force Falcons Football Tickets,Colorado State Rams at Air Force Falcons Football Tickets,"16,207",975,975,1
"2,014",Air Force Falcons Football Tickets,Navy Midshipmen at Air Force Falcons Football Tickets,"8,872",249,355,0.701408451
"2,014",Air Force Falcons Football Tickets,Boise State Broncos at Air Force Falcons Football Tickets,"2,039",176,232,0.75862069
"2,014",Michigan State Spartans Football Tickets,Ohio State Buckeyes at Michigan State Spartans Football Tickets,260,2,4,0.5
"2,014",Michigan State Spartans Football Tickets,Nebraska Cornhuskers at Michigan State Spartans Football Tickets,"1,430",24,24,1
"2,014",Michigan Wolverines Football Tickets,Appalachian State Mountaineers at Michigan Wolverines Football Tickets,"2,880",72,74,0.972972973
