SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
"2,015",Cal Bears Football Tickets,Washington State Cougars at Cal Bears Football Tickets,"14,780",316,347,0.910662824
"2,015",Cal Bears Football Tickets,Arizona State Sun Devils at Cal Bears Football Tickets,"1,500",61,61,1
"2,015",Cal Bears Football Tickets,Oregon State Beavers at Cal Bears Football Tickets,"4,227",132,134,0.985074627
"2,015",Cal Bears Football Tickets,San Diego State Aztecs at Cal Bears Football Tickets,"3,723",63,65,0.969230769
"2,015",Cal Bears Football Tickets,USC Trojans at Cal Bears Football Tickets,"31,861",517,524,0.986641221
"2,015",Cal Bears Football Tickets,Grambling State Tigers at Cal Bears Football Tickets,"6,417",105,110,0.954545455
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
