SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
"2,015",Michigan State Spartans Football Tickets,Purdue Boilermakers at Michigan State Spartans Football Tickets,"30,185",943,1091,0.864344638
"2,014",Michigan State Spartans Football Tickets,Eastern Michigan Eagles at Michigan State Spartans Football Tickets,792,29,29,1
"2,015",Michigan State Spartans Football Tickets,Indiana Hoosiers at Michigan State Spartans Football Tickets,"28,794","1,106",1434,0.771269177
"2,014",Michigan State Spartans Football Tickets,Michigan Wolverines at Michigan State Spartans Football Tickets,"4,480",28,28,1
"2,015",Michigan State Spartans Football Tickets,Central Michigan Chippewas at Michigan State Spartans Football Tickets,"32,029","1,038",1064,0.97556391
"2,015",Michigan State Spartans Football Tickets,Oregon Ducks at Michigan State Spartans Football Tickets,"92,122",630,709,0.888575458
"2,013",Michigan State Spartans Football Tickets,Michigan Wolverines at Michigan State Spartans Football Tickets,"4,858",30,30,1
"2,015",Michigan State Spartans Football Tickets,Penn State Nittany Lions at Michigan State Spartans Football Tickets,"15,742",575,618,0.930420712
"2,015",Michigan State Spartans Football Tickets,Air Force Falcons at Michigan State Spartans Football Tickets,"1,156",38,49,0.775510204
"2,015",Michigan State Spartans Football Tickets,Maryland Terrapins at Michigan State Spartans Football Tickets,"2,302",171,171,1
"2,014",Michigan State Spartans Football Tickets,Ohio State Buckeyes at Michigan State Spartans Football Tickets,260,2,4,0.5
"2,013",Michigan State Spartans Football Tickets,Western Michigan Broncos at Michigan State Spartans Football Tickets,"1,950",26,26,1
"2,014",Michigan State Spartans Football Tickets,Nebraska Cornhuskers at Michigan State Spartans Football Tickets,"1,430",24,24,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
