SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
"2,014",Michigan Wolverines Football Tickets,Miami (Ohio) Redhawks at Michigan Wolverines Football Tickets,"13,393",367,465,0.789247312
"2,015",Michigan Wolverines Football Tickets,Rutgers Scarlet Knights at Michigan Wolverines Football Tickets,932,19,27,0.703703704
"2,015",Michigan Wolverines Football Tickets,Northwestern Wildcats at Michigan Wolverines Football Tickets,"18,319",161,165,0.975757576
"2,014",Michigan Wolverines Football Tickets,Utah Utes at Michigan Wolverines Football Tickets,"19,426",442,559,0.790697674
"2,014",Michigan Wolverines Football Tickets,Indiana Hoosiers at Michigan Wolverines Football Tickets (Homecoming),"2,880",72,100,0.72
"2,015",Michigan Wolverines Football Tickets,Ohio State Buckeyes at Michigan Wolverines Football Tickets,"14,889",93,97,0.958762887
"2,014",Michigan Wolverines Football Tickets,Minnesota Golden Gophers at Michigan Wolverines Football Tickets,"1,398",38,46,0.826086957
"2,015",Michigan Wolverines Football Tickets,Michigan State Spartans at Michigan Wolverines Football Tickets,"19,870",70,70,1
"2,015",Michigan Wolverines Football Tickets,BYU Cougars at Michigan Wolverines Football Tickets,"11,694",196,209,0.937799043
"2,015",Michigan Wolverines Football Tickets,Oregon State Beavers at Michigan Wolverines Football Tickets,"5,402",71,81,0.87654321
"2,014",Michigan Wolverines Football Tickets,Penn State Nittany Lions at Michigan Wolverines Football Tickets,516,6,6,1
"2,013",Michigan Wolverines Football Tickets,Ohio State Buckeyes at Michigan Wolverines Football Tickets,95,1,7,0.142857143
"2,014",Michigan Wolverines Football Tickets,Appalachian State Mountaineers at Michigan Wolverines Football Tickets,"2,880",72,74,0.972972973
"2,013",Michigan Wolverines Football Tickets,Central Michigan Chippewas at Michigan Wolverines Football Tickets,600,8,8,1
"2,013",Michigan Wolverines Football Tickets,Nebraska Cornhuskers at Michigan Wolverines Football Tickets,"6,430",50,59,0.847457627
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
