SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
"2,015",Air Force Falcons Football Tickets,Utah State Aggies at Air Force Falcons Football Tickets,122,10,52,0.192307692
"2,015",Georgia Tech Yellow Jackets Football Tickets,Florida State Seminoles at Georgia Tech Yellow Jackets Football Tickets,"28,552",203,207,0.980676329
"2,015",Oregon State Beavers Football Tickets,Washington Huskies at Oregon State Beavers Football Tickets,"9,158",159,284,0.559859155
"2,015",Oregon State Beavers Football Tickets,Stanford Cardinal at Oregon State Beavers Football Tickets,"6,958",131,258,0.507751938
"2,015",Oregon State Beavers Football Tickets,San Jose State Spartans at Oregon State Beavers Football Tickets,"10,854",276,300,0.92
"2,015",Cal Bears Football Tickets,Washington State Cougars at Cal Bears Football Tickets,"14,780",316,347,0.910662824
"2,015",Oregon Ducks Football Tickets,Washington State Cougars at Oregon Ducks Football Tickets,"26,418",557,612,0.910130719
"2,014",Oregon Ducks Football Tickets,Colorado Buffaloes at Oregon Ducks Football Tickets,"10,723",141,155,0.909677419
"2,015",LSU Tigers Football Tickets,Florida Gators at LSU Tigers Football Tickets,"11,280",67,68,0.985294118
"2,014",Michigan Wolverines Football Tickets,Miami (Ohio) Redhawks at Michigan Wolverines Football Tickets,"13,393",367,465,0.789247312
"2,015",Air Force Falcons Football Tickets,Morgan State Bears at Air Force Falcons Football Tickets,"1,463",115,162,0.709876543
"2,015",Air Force Falcons Football Tickets,Fresno State Bulldogs at Air Force Falcons Football Tickets,69,4,52,0.076923077
"2,015",James Madison Dukes Football Tickets,Richmond Spiders at James Madison Dukes Football Tickets,"11,973",148,149,0.993288591
"2,015",Oregon Ducks Football Tickets,Cal Bears at Oregon Ducks Football Tickets,"8,827",113,234,0.482905983
"2,015",Oregon Ducks Football Tickets,USC Trojans at Oregon Ducks Football Tickets,"14,762",147,256,0.57421875
"2,015",Michigan State Spartans Football Tickets,Purdue Boilermakers at Michigan State Spartans Football Tickets,"30,185",943,1091,0.864344638
"2,014",Michigan State Spartans Football Tickets,Eastern Michigan Eagles at Michigan State Spartans Football Tickets,792,29,29,1
"2,015",Nebraska Cornhuskers Football Tickets,Northwestern Wildcats at Nebraska Cornhuskers Football Tickets,"1,072",16,51,0.31372549
"2,015",Michigan Wolverines Football Tickets,Rutgers Scarlet Knights at Michigan Wolverines Football Tickets,932,19,27,0.703703704
"2,015",Michigan Wolverines Football Tickets,Northwestern Wildcats at Michigan Wolverines Football Tickets,"18,319",161,165,0.975757576
"2,014",Michigan Wolverines Football Tickets,Utah Utes at Michigan Wolverines Football Tickets,"19,426",442,559,0.790697674
"2,015",Washington State Cougars Football Tickets,Arizona State Sun Devils at Washington State Cougars Football Tickets,"22,529",422,422,1
"2,015",James Madison Dukes Football Tickets,Stony Brook Seawolves at James Madison Dukes Football Tickets,"1,313",17,30,0.566666667
"2,014",Cal Bears Football Tickets,Oregon Ducks at Cal Bears Football Tickets,779,27,100,0.27
"2,015",Cal Bears Football Tickets,Arizona State Sun Devils at Cal Bears Football Tickets,"1,500",61,61,1
"2,015",LSU Tigers Football Tickets,Western Kentucky Hilltoppers at LSU Tigers Football Tickets,500,8,18,0.444444444
"2,014",Michigan Wolverines Football Tickets,Indiana Hoosiers at Michigan Wolverines Football Tickets (Homecoming),"2,880",72,100,0.72
"2,015",Air Force Falcons Football Tickets,Army Black Knights at Air Force Falcons Football Tickets,180,4,54,0.074074074
"2,015",James Madison Dukes Football Tickets,Morehead State Eagles at James Madison Dukes Football Tickets,"1,048",14,16,0.875
"2,014",Oregon Ducks Football Tickets,Stanford Cardinal at Oregon Ducks Football Tickets,915,5,50,0.1
"2,014",Oregon Ducks Football Tickets,Washington Huskies at Oregon Ducks Football Tickets,"3,962",24,30,0.8
"2,014",Oregon Ducks Football Tickets,Michigan State Spartans at Oregon Ducks Football Tickets,"1,835",49,82,0.597560976
"2,015",Michigan State Spartans Football Tickets,Indiana Hoosiers at Michigan State Spartans Football Tickets,"28,794","1,106",1434,0.771269177
"2,015",Michigan Wolverines Football Tickets,Ohio State Buckeyes at Michigan Wolverines Football Tickets,"14,889",93,97,0.958762887
"2,014",Navy Midshipmen Football Tickets,Notre Dame Fighting Irish vs Navy Midshipmen Football Tickets,"196,495","2,094",3650,0.57369863
"2,014",Air Force Falcons Football Tickets,Nevada Wolf Pack at Air Force Falcons Football Tickets,549,58,85,0.682352941
"2,013",Georgia Tech Yellow Jackets Football Tickets,Georgia Bulldogs at Georgia Tech Yellow Jackets Football Tickets,"71,317",517,594,0.87037037
"2,015",Washington State Cougars Football Tickets,Stanford Cardinal at Washington State Cougars Football Tickets,"5,053",261,303,0.861386139
"2,015",Cal Bears Football Tickets,Oregon State Beavers at Cal Bears Football Tickets,"4,227",132,134,0.985074627
"2,015",Oregon Ducks Football Tickets,The Civil War - Oregon State Beavers at Oregon Ducks Football Tickets,"35,787",531,636,0.83490566
"2,015",Oregon Ducks Football Tickets,Georgia State Panthers at Oregon Ducks Football Tickets,"3,964",64,81,0.790123457
"2,014",Oregon Ducks Football Tickets,Arizona Wildcats at Oregon Ducks Football Tickets,"1,540",13,14,0.928571429
"2,014",Michigan State Spartans Football Tickets,Michigan Wolverines at Michigan State Spartans Football Tickets,"4,480",28,28,1
"2,015",Iowa Hawkeyes Football Tickets,Maryland Terrapins at Iowa Hawkeyes Football Tickets,730,26,30,0.866666667
"2,015",Nebraska Cornhuskers Football Tickets,Michigan State Spartans at Nebraska Cornhuskers Football Tickets,"5,802",81,166,0.487951807
"2,014",Michigan Wolverines Football Tickets,Minnesota Golden Gophers at Michigan Wolverines Football Tickets,"1,398",38,46,0.826086957
"2,015",Air Force Falcons Football Tickets,Wyoming Cowboys at Air Force Falcons Football Tickets,348,21,52,0.403846154
"2,014",Air Force Falcons Football Tickets,New Mexico Lobos at Air Force Falcons Football Tickets,"1,202",123,123,1
"2,015",Pittsburgh Panthers Football Tickets,Notre Dame Fighting Irish at Pittsburgh Panthers Football Tickets,"45,388",660,674,0.979228487
"2,015",James Madison Dukes Football Tickets,Albany Great Danes at James Madison Dukes Football Tickets,80,2,8,0.25
"2,015",Oregon State Beavers Football Tickets,Weber State Wildcats at Oregon State Beavers Football Tickets,"7,118",237,254,0.933070866
"2,015",Cal Bears Football Tickets,San Diego State Aztecs at Cal Bears Football Tickets,"3,723",63,65,0.969230769
"2,015",Oregon Ducks Football Tickets,Utah Utes at Oregon Ducks Football Tickets,"10,537",94,100,0.94
"2,014",Oregon Ducks Football Tickets,Wyoming Cowboys at Oregon Ducks Football Tickets,"1,288",25,33,0.757575758
"2,015",Michigan State Spartans Football Tickets,Central Michigan Chippewas at Michigan State Spartans Football Tickets,"32,029","1,038",1064,0.97556391
"2,015",Michigan State Spartans Football Tickets,Oregon Ducks at Michigan State Spartans Football Tickets,"92,122",630,709,0.888575458
"2,013",Michigan State Spartans Football Tickets,Michigan Wolverines at Michigan State Spartans Football Tickets,"4,858",30,30,1
"2,015",Air Force Falcons Football Tickets,San Jose State Spartans at Air Force Falcons Football Tickets,259,29,52,0.557692308
"2,015",Georgia Tech Yellow Jackets Football Tickets,Georgia Bulldogs at Georgia Tech Yellow Jackets Football Tickets,"33,138",276,278,0.992805755
"2,014",Georgia Tech Yellow Jackets Football Tickets,Clemson Tigers at Georgia Tech Yellow Jackets Football Tickets,"13,400",179,213,0.840375587
"2,015",Washington State Cougars Football Tickets,Colorado Buffaloes at Washington State Cougars Football Tickets,130,13,29,0.448275862
"2,015",Oregon State Beavers Football Tickets,Colorado Buffaloes at Oregon State Beavers Football Tickets,"15,863",260,290,0.896551724
"2,015",Oregon Ducks Football Tickets,Eastern Washington Eagles at Oregon Ducks Football Tickets,"11,073",252,298,0.845637584
"2,015",LSU Tigers Football Tickets,Texas AM Aggies at LSU Tigers Football Tickets,"4,988",40,40,1
"2,015",LSU Tigers Football Tickets,Auburn Tigers at LSU Tigers Football Tickets,"4,304",34,36,0.944444444
"2,015",Michigan State Spartans Football Tickets,Penn State Nittany Lions at Michigan State Spartans Football Tickets,"15,742",575,618,0.930420712
"2,015",Michigan State Spartans Football Tickets,Air Force Falcons at Michigan State Spartans Football Tickets,"1,156",38,49,0.775510204
